Kind of Business,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Total
"Retail and food services sales, total",342639,343893,372907,368920,397956,378507,383726,382862,350542,349847,335545,384236,4391580
Retail sales and food services excl motor vehicle and parts,276796,274863,296293,295184,321829,309079,314049,313186,290053,294821,287679,331883,3605715
Retail sales and food services excl gasoline stations,303949,306277,330681,325257,349444,328422,331998,333794,305360,309222,305676,357861,3887941
Retail sales and food services excl motor vehicle and parts and gasoline stations,238106,237247,254067,251521,273317,258994,262321,264118,244871,254196,257810,305508,3102076
"Retail sales, total",307576,308171,334416,331002,357277,339791,344158,342443,313308,311422,299238,346513,3935315
"Retail sales, total (excl. motor vehicle and parts dealers)",241733,239141,257802,257266,281150,270363,274481,272767,252819,256396,251372,294160,3149450
GAFO(1),82944,85539,91761,87462,97590,92346,92496,98336,84961,88650,101013,133278,1136376
Motor vehicle and parts dealers,65843,69030,76614,73736,76127,69428,69677,69676,60489,55026,47866,52353,785865
Automobile and other motor vehicle dealers,60169,63205,70321,67336,69485,62743,62742,63088,54121,48293,41843,46201,709547
Automobile dealers,56319,58684,64382,60804,62079,56153,56522,57661,49995,44704,38987,43215,649505
New car dealers,49775,51502,57091,53864,55396,49500,50236,51435,44333,39272,34535,38654,575593
Used car dealers,6544,7182,7291,6940,6683,6653,6286,6226,5662,5432,4452,4561,73912
"Automotive parts, acc., and tire stores",5674,5825,6293,6400,6642,6685,6935,6588,6368,6733,6023,6152,76318
"Furniture, home furn, electronics, and appliance stores",16843,16813,16910,15987,17438,16752,17302,17473,15723,15501,18055,22307,207104
Furniture and home furnishings stores,8163,8104,8381,8029,8604,8117,8495,8456,7676,7712,8121,8862,98720
Furniture stores,4597,4658,4701,4406,4714,4262,4425,4630,4100,3982,4096,4137,52708
Home furnishings stores,3566,3446,3680,3623,3890,3855,4070,3826,3576,3730,4025,4725,46012
Floor covering stores,1475,1472,1615,1594,1708,1673,1741,1627,1593,1602,1380,1284,18764
All other home furnishings stores,1964,1839,1932,1888,2050,2054,2181,2070,1856,2001,2526,3335,25696
Electronics and appliance stores,8680,8709,8529,7958,8834,8635,8807,9017,8047,7789,9934,13445,108384
Household appliance stores,1316,1362,1369,1392,1468,1493,1491,1413,1338,1334,1440,1572,16988
Electronics stores,7364,7347,7160,6566,7366,7142,7316,7604,6709,6455,8494,11873,91396
