Kind of Business,Jan 2021,Feb 2021,Total
"Retail and food services sales, total",517119,490657,1007776
Retail sales and food services excl motor vehicle and parts,412864,387813,800677
Retail sales and food services excl gasoline stations,479905,454373,934278
Retail sales and food services excl motor vehicle and parts and gasoline stations,375650,351529,727179
"Retail sales, total",464362,440182,904544
"Retail sales, total (excl. motor vehicle and parts dealers)",360107,337338,697445
GAFO(1),102333,95130,197463
Motor vehicle and parts dealers,104255,102844,207099
Automobile and other motor vehicle dealers,96537,95324,191861
Automobile dealers,90463,88477,178940
New car dealers,79954,77192,157146
Used car dealers,10509,11285,21794
"Automotive parts, acc., and tire stores",7718,7520,15238
"Furniture, home furn, electronics, and appliance stores",17773,16294,34067
Furniture and home furnishings stores,10707,10019,20726
Furniture stores,6099,5691,11790
Home furnishings stores,(S),(S),(S)(S)
Floor covering stores,(S),(S),(S)(S)
All other home furnishings stores,(S),(S),(S)(S)
Electronics and appliance stores,7066,6275,13341
Household appliance stores,1631,1495,3126
Electronics stores,5435,4780,10215
Building mat. and garden equip. and supplies dealers,31229,29581,60810
Building mat. and supplies dealers,27143,25613,52756
Paint and wallpaper stores,923,895,1818
Hardware stores,2352,2203,4555
Food and beverage stores,71726,65894,137620
Grocery stores,64785,59076,123861
Supermarkets and other grocery (except convenience) stores,62085,56547,118632
"Beer, wine, and liquor stores",5087,4974,10061
Health and personal care stores,29509,27775,57284
Pharmacies and drug stores,25420,23752,49172
Gasoline stations,37214,36284,73498
Clothing and clothing access. stores,15740,16592,32332
Clothing stores,10568,10683,21251
Men's clothing stores,349,353,702
Women's clothing stores,2043,2069,4112
Family clothing stores,5903,5920,11823
Other clothing stores,1184,1187,2371
Shoe stores,2213,2172,4385
Jewelry stores,2640,3405,6045
"Sporting goods, hobby, musical instrument, and book stores",7421,6409,13830
Sporting goods stores,4150,3819,7969
"Hobby, toy, and game stores",1646,1444,3090
Book stores,820,458,1278
General merchandise stores,59643,54183,113826
Department stores,8327,7881,16208
Department stores(excl. discount department stores),1273,1495,2768
Discount dept. stores,7054,6386,13440
Other general merchandise stores,51316,46302,97618
Warehouse clubs and superstores,44568,39956,84524
All other gen. merchandise stores,6748,6346,13094
Miscellaneous store retailers,11175,10508,21683
"Office supplies, stationery, and gift stores",1756,1652,3408
Office supplies and stationery stores,885,763,1648
"Gift, novelty, and souvenir stores",871,889,1760
Used merchandise stores,1385,1341,2726
Nonstore retailers,78677,73818,152495
Electronic shopping and mail-order houses,69830,64683,134513
Fuel dealers,4115,4423,8538
Food services and drinking places,52757,50475,103232
Drinking places,(S),(S),(S)(S)
Restaurants and other eating places,49022,46299,95321
Full service restaurants,(S),(S),(S)(S)
Limited service eating places,28457,25819,54276
